['1552699253903', '192.168.50.145', 'NA', 'NA', '0.676', '-0.979', '-9.637', '-2.984', '-2.739', '-1.138', '-0.245', '0.486', '-0.891', '1028.31', 'NA']
['1552699253937', '192.168.50.145', 'NA', 'NA', '0.676', '-0.979', '-9.637', '-2.984', '-2.739', '-1.138', '-0.245', '0.486', '-0.891', '1028.31', 'NA']
['1552699253960', '192.168.50.145', 'NA', 'NA', '0.909', '-1.050', '-9.563', '-3.010', '-1.671', '-1.102', '-0.247', '0.486', '-0.901', '1028.35', 'NA']
['1552699253994', '192.168.50.145', 'NA', 'NA', '0.909', '-1.050', '-9.563', '-3.010', '-1.671', '-1.102', '-0.247', '0.486', '-0.901', '1028.35', 'NA']
['1552699254017', '192.168.50.145', 'NA', 'NA', '0.686', '-0.979', '-9.618', '-3.089', '-1.776', '-1.452', '-0.244', '0.486', '-0.901', '1028.31', 'NA']
['1552699254045', '192.168.50.145', '10.94', '10205FE010002BEB', '0.686', '-0.979', '-9.618', '-3.089', '-1.776', '-1.452', '-0.244', '0.486', '-0.901', '1028.31', '-92']
['1552699254068', '192.168.50.145', 'NA', 'NA', '0.726', '-1.004', '-9.691', '-3.220', '-1.059', '-1.356', '-0.243', '0.491', '-0.900', '1028.35', 'NA']
['1552699254102', '192.168.50.145', 'NA', 'NA', '0.726', '-1.004', '-9.691', '-3.220', '-1.059', '-1.356', '-0.243', '0.491', '-0.900', '1028.35', 'NA']
['1552699254124', '192.168.50.145', 'NA', 'NA', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', 'NA']
['1552699254159', '192.168.50.145', 'NA', 'NA', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', 'NA']
['1552699254175', '192.168.50.145', '25.00', '10205FE010002C95', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', '-97']
['1552699254210', '192.168.50.145', 'NA', 'NA', '0.711', '-0.939', '-9.728', '-3.054', '-2.293', '-1.470', '-0.239', '0.485', '-0.894', '1028.39', 'NA']
['1552699254232', '192.168.50.145', 'NA', 'NA', '0.711', '-0.939', '-9.728', '-3.054', '-2.293', '-1.470', '-0.239', '0.485', '-0.894', '1028.39', 'NA']
['1552699254267', '192.168.50.145', 'NA', 'NA', '0.848', '-1.092', '-9.576', '-2.503', '-1.986', '-1.321', '-0.240', '0.485', '-0.892', '1028.31', 'NA']
['1552699254290', '192.168.50.145', 'NA', 'NA', '0.848', '-1.092', '-9.576', '-2.503', '-1.986', '-1.321', '-0.240', '0.485', '-0.892', '1028.31', 'NA']
['1552699254324', '192.168.50.145', 'NA', 'NA', '0.707', '-0.936', '-9.651', '-2.931', '-2.537', '-1.356', '-0.239', '0.487', '-0.893', '1028.34', 'NA']
['1552699254341', '192.168.50.145', '25.00', '10205FE010002C95', '0.707', '-0.936', '-9.651', '-2.931', '-2.537', '-1.356', '-0.239', '0.487', '-0.893', '1028.34', '-99']
['1552699254369', '192.168.50.145', '10.98', '10205FE010002BEB', '0.707', '-0.936', '-9.651', '-2.931', '-2.537', '-1.356', '-0.239', '0.487', '-0.893', '1028.34', '-92']
['1552699254391', '192.168.50.145', 'NA', 'NA', '0.855', '-1.071', '-9.596', '-2.721', '-1.383', '-1.330', '-0.243', '0.489', '-0.900', '1028.35', 'NA']
['1552699254424', '192.168.50.145', 'NA', 'NA', '0.855', '-1.071', '-9.596', '-2.721', '-1.383', '-1.330', '-0.243', '0.489', '-0.900', '1028.35', 'NA']
['1552699254446', '192.168.50.145', 'NA', 'NA', '0.827', '-1.109', '-9.693', '-3.141', '-1.549', '-1.409', '-0.243', '0.489', '-0.901', '1028.33', 'NA']
['1552699254481', '192.168.50.145', 'NA', 'NA', '0.827', '-1.109', '-9.693', '-3.141', '-1.549', '-1.409', '-0.243', '0.489', '-0.901', '1028.33', 'NA']
['1552699254503', '192.168.50.145', 'NA', 'NA', '0.713', '-0.949', '-9.778', '-3.351', '-1.400', '-1.234', '-0.245', '0.484', '-0.901', '1028.31', 'NA']
['1552699254532', '192.168.50.145', '10.99', '10205FE010002BEB', '0.713', '-0.949', '-9.778', '-3.351', '-1.400', '-1.234', '-0.245', '0.484', '-0.901', '1028.31', '-91']
['1552699254555', '192.168.50.145', 'NA', 'NA', '0.853', '-1.096', '-9.684', '-3.027', '-1.785', '-1.199', '-0.242', '0.484', '-0.903', '1028.34', 'NA']
['1552699254589', '192.168.50.145', 'NA', 'NA', '0.853', '-1.096', '-9.684', '-3.027', '-1.785', '-1.199', '-0.242', '0.484', '-0.903', '1028.34', 'NA']
['1552699254612', '192.168.50.145', 'NA', 'NA', '0.853', '-1.096', '-9.684', '-3.027', '-1.785', '-1.199', '-0.242', '0.484', '-0.903', '1028.34', 'NA']
['1552699254639', '192.168.50.145', '42.71', '10205FE010002A7B', '0.719', '-0.976', '-9.868', '-3.185', '-2.310', '-1.452', '-0.240', '0.487', '-0.893', '1028.32', '-101']
['1552699254655', '192.168.50.145', '25.06', '10205FE010002C95', '0.719', '-0.976', '-9.868', '-3.185', '-2.310', '-1.452', '-0.240', '0.487', '-0.893', '1028.32', '-97']
['1552699254677', '192.168.50.145', 'NA', 'NA', '0.719', '-0.976', '-9.868', '-3.185', '-2.310', '-1.452', '-0.240', '0.487', '-0.893', '1028.32', 'NA']
['1552699254712', '192.168.50.145', 'NA', 'NA', '0.855', '-1.146', '-9.721', '-2.529', '-1.846', '-1.173', '-0.245', '0.484', '-0.899', '1028.43', 'NA']
['1552699254734', '192.168.50.145', 'NA', 'NA', '0.855', '-1.146', '-9.721', '-2.529', '-1.846', '-1.173', '-0.245', '0.484', '-0.899', '1028.43', 'NA']
['1552699254768', '192.168.50.145', 'NA', 'NA', '0.730', '-0.974', '-9.850', '-3.124', '-2.450', '-1.199', '-0.243', '0.484', '-0.893', '1028.37', 'NA']
['1552699254790', '192.168.50.145', 'NA', 'NA', '0.730', '-0.974', '-9.850', '-3.124', '-2.450', '-1.199', '-0.243', '0.484', '-0.893', '1028.37', 'NA']
['1552699254824', '192.168.50.145', 'NA', 'NA', '0.733', '-0.967', '-9.928', '-2.914', '-1.251', '-1.347', '-0.245', '0.483', '-0.893', '1028.35', 'NA']
['1552699254840', '192.168.50.145', '10.98', '10205FE010002BEB', '0.733', '-0.967', '-9.928', '-2.914', '-1.251', '-1.347', '-0.245', '0.483', '-0.893', '1028.35', '-91']
['1552699254873', '192.168.50.145', 'NA', 'NA', '0.733', '-0.967', '-9.928', '-2.914', '-1.251', '-1.347', '-0.245', '0.483', '-0.893', '1028.35', 'NA']
['1552699254895', '192.168.50.145', 'NA', 'NA', '0.793', '-1.170', '-9.869', '-2.914', '-1.628', '-1.435', '-0.239', '0.491', '-0.891', '1028.38', 'NA']
['1552699254929', '192.168.50.145', 'NA', 'NA', '0.793', '-1.170', '-9.869', '-2.914', '-1.628', '-1.435', '-0.239', '0.491', '-0.891', '1028.38', 'NA']
['1552699254951', '192.168.50.145', 'NA', 'NA', '0.737', '-1.001', '-9.964', '-3.412', '-0.954', '-1.190', '-0.237', '0.483', '-0.893', '1028.35', 'NA']
['1552699254985', '192.168.50.145', 'NA', 'NA', '0.737', '-1.001', '-9.964', '-3.412', '-0.954', '-1.190', '-0.237', '0.483', '-0.893', '1028.35', 'NA']
['1552699255001', '192.168.50.145', '10.93', '10205FE010002BEB', '0.737', '-1.001', '-9.964', '-3.412', '-0.954', '-1.190', '-0.237', '0.483', '-0.893', '1028.35', '-92']
['1552699255034', '192.168.50.145', 'NA', 'NA', '0.759', '-1.183', '-9.893', '-3.211', '-1.942', '-1.242', '-0.240', '0.487', '-0.896', '1028.35', 'NA']
['1552699255056', '192.168.50.145', 'NA', 'NA', '0.713', '-0.994', '-10.050', '-3.334', '-2.450', '-1.295', '-0.243', '0.487', '-0.891', '1028.40', 'NA']
['1552699255090', '192.168.50.145', 'NA', 'NA', '0.713', '-0.994', '-10.050', '-3.334', '-2.450', '-1.295', '-0.243', '0.487', '-0.891', '1028.40', 'NA']
