[1546720851.9788477, '192.168.50.145', '5.51', '10205FE0100031F3', '-0.504', '-1.828', '-7.742', '3.719', '-6.423', '8.033', '0.249', '-0.127', '-0.413', '-93']
[1546720852.2378526, '192.168.50.145', '18.51', '10205FE010002C92', '-0.522', '-2.315', '-11.422', '-0.411', '-17.343', '-5.338', '0.246', '-0.139', '-0.429', '-89']
[1546720852.571219, '192.168.50.145', '6.07', '10205FE010002A85', '-1.164', '-2.023', '-7.235', '1.846', '4.620', '-6.825', '0.252', '-0.134', '-0.439', '-81']
[1546720852.9185424, '192.168.50.145', '21.79', '10205FE010002BEB', '-0.233', '-1.462', '-10.835', '10.150', '10.780', '18.323', '0.259', '-0.150', '-0.453', '-102']
[1546720853.0448544, '192.168.50.145', '12.29', '10205FE010002C95', '-0.471', '-1.728', '-7.999', '9.188', '4.646', '13.624', '0.248', '-0.155', '-0.457', '-91']
[1546720853.1937377, '192.168.50.145', '5.28', '10205FE010002A85', '-0.609', '-2.334', '-8.491', '-1.435', '-6.711', '7.787', '0.240', '-0.162', '-0.461', '-81']
[1546720853.3154182, '192.168.50.145', '19.72', '10205FE010002C92', '-0.636', '-3.260', '-10.416', '7.787', '-4.611', '1.383', '0.238', '-0.180', '-0.458', '-89']
[1546720853.3295434, '192.168.50.145', '7.07', '10205FE0100031F3', '-1.036', '-2.089', '-11.346', '3.902', '-8.873', '2.328', '0.229', '-0.188', '-0.461', '-93']
[1546720853.5569417, '192.168.50.145', '12.64', '10205FE010002C95', '-1.528', '-1.780', '-8.589', '-9.494', '3.614', '-2.791', '0.221', '-0.189', '-0.454', '-93']
[1546720853.914115, '192.168.50.145', '12.85', '10205FE010002C95', '-0.718', '-2.284', '-10.725', '-13.204', '7.543', '6.423', '0.229', '-0.209', '-0.435', '-92']
[1546720854.0451732, '192.168.50.145', '12.98', '10205FE010002C95', '-0.173', '-2.102', '-8.742', '-12.364', '7.193', '19.241', '0.230', '-0.214', '-0.433', '-95']
