['1553383322127', '192.168.50.145', 'NA', 'NA', '-0.627', '0.160', '-10.052', '3.351', '2.835', '-53.489', '-0.011', '-0.308', '-0.475', '1021.88', 'NA']
['1553383322149', '192.168.50.145', 'NA', 'NA', '-0.627', '0.160', '-10.052', '3.351', '2.835', '-53.489', '-0.011', '-0.308', '-0.475', '1021.88', 'NA']
['1553383322171', '192.168.50.145', 'NA', 'NA', '-0.627', '0.160', '-10.052', '3.351', '2.835', '-53.489', '-0.011', '-0.308', '-0.475', '1021.88', 'NA']
['1553383322194', '192.168.50.145', 'NA', 'NA', '0.334', '0.031', '-10.220', '13.597', '1.059', '-43.129', '0.002', '-0.318', '-0.472', '1021.96', 'NA']
['1553383322216', '192.168.50.145', 'NA', 'NA', '0.334', '0.031', '-10.220', '13.597', '1.059', '-43.129', '0.002', '-0.318', '-0.472', '1021.96', 'NA']
['1553383322238', '192.168.50.145', 'NA', 'NA', '0.334', '0.031', '-10.220', '13.597', '1.059', '-43.129', '0.002', '-0.318', '-0.472', '1021.96', 'NA']
['1553383322260', '192.168.50.145', 'NA', 'NA', '-0.250', '-0.090', '-9.974', '3.876', '1.374', '-47.976', '0.019', '-0.321', '-0.469', '1021.92', 'NA']
['1553383322282', '192.168.50.145', 'NA', 'NA', '-0.250', '-0.090', '-9.974', '3.876', '1.374', '-47.976', '0.019', '-0.321', '-0.469', '1021.92', 'NA']
['1553383322303', '192.168.50.145', 'NA', 'NA', '-0.250', '-0.090', '-9.974', '3.876', '1.374', '-47.976', '0.019', '-0.321', '-0.469', '1021.92', 'NA']
['1553383322325', '192.168.50.145', 'NA', 'NA', '-0.671', '-0.019', '-9.349', '-6.291', '-0.569', '-56.009', '0.036', '-0.316', '-0.468', '1021.90', 'NA']
['1553383322348', '192.168.50.145', 'NA', 'NA', '-0.671', '-0.019', '-9.349', '-6.291', '-0.569', '-56.009', '0.036', '-0.316', '-0.468', '1021.90', 'NA']
['1553383322370', '192.168.50.145', 'NA', 'NA', '-0.501', '0.130', '-9.967', '19.740', '3.561', '-67.926', '0.046', '-0.318', '-0.468', '1021.94', 'NA']
['1553383322392', '192.168.50.145', 'NA', 'NA', '-0.501', '0.130', '-9.967', '19.740', '3.561', '-67.926', '0.046', '-0.318', '-0.468', '1021.94', 'NA']
['1553383322414', '192.168.50.145', 'NA', 'NA', '-0.501', '0.130', '-9.967', '19.740', '3.561', '-67.926', '0.046', '-0.318', '-0.468', '1021.94', 'NA']
['1553383322436', '192.168.50.145', 'NA', 'NA', '0.258', '-0.492', '-9.919', '11.165', '17.456', '-72.345', '0.072', '-0.317', '-0.462', '1021.89', 'NA']
['1553383322459', '192.168.50.145', 'NA', 'NA', '0.258', '-0.492', '-9.919', '11.165', '17.456', '-72.345', '0.072', '-0.317', '-0.462', '1021.89', 'NA']
['1553383322480', '192.168.50.145', 'NA', 'NA', '0.258', '-0.492', '-9.919', '11.165', '17.456', '-72.345', '0.072', '-0.317', '-0.462', '1021.89', 'NA']
['1553383322502', '192.168.50.145', 'NA', 'NA', '0.268', '-0.513', '-9.970', '6.860', '14.919', '-78.382', '0.097', '-0.322', '-0.460', '1021.91', 'NA']
['1553383322525', '192.168.50.145', 'NA', 'NA', '0.268', '-0.513', '-9.970', '6.860', '14.919', '-78.382', '0.097', '-0.322', '-0.460', '1021.91', 'NA']
['1553383322547', '192.168.50.145', 'NA', 'NA', '0.268', '-0.513', '-9.970', '6.860', '14.919', '-78.382', '0.097', '-0.322', '-0.460', '1021.91', 'NA']
['1553383322569', '192.168.50.145', 'NA', 'NA', '0.942', '-0.498', '-9.421', '5.705', '13.195', '-77.674', '0.120', '-0.314', '-0.456', '1021.95', 'NA']
['1553383322592', '192.168.50.145', 'NA', 'NA', '0.942', '-0.498', '-9.421', '5.705', '13.195', '-77.674', '0.120', '-0.314', '-0.456', '1021.95', 'NA']
['1553383322614', '192.168.50.145', 'NA', 'NA', '0.942', '-0.498', '-9.421', '5.705', '13.195', '-77.674', '0.120', '-0.314', '-0.456', '1021.95', 'NA']
['1553383322636', '192.168.50.145', 'NA', 'NA', '0.513', '-0.753', '-9.581', '19.924', '25.760', '-90.974', '0.148', '-0.308', '-0.448', '1021.93', 'NA']
['1553383322658', '192.168.50.145', 'NA', 'NA', '0.513', '-0.753', '-9.581', '19.924', '25.760', '-90.974', '0.148', '-0.308', '-0.448', '1021.93', 'NA']
['1553383322681', '192.168.50.145', 'NA', 'NA', '1.088', '-0.865', '-9.854', '24.780', '20.326', '-94.220', '0.185', '-0.301', '-0.438', '1021.91', 'NA']
['1553383322703', '192.168.50.145', 'NA', 'NA', '1.088', '-0.865', '-9.854', '24.780', '20.326', '-94.220', '0.185', '-0.301', '-0.438', '1021.91', 'NA']
['1553383322725', '192.168.50.145', 'NA', 'NA', '1.088', '-0.865', '-9.854', '24.780', '20.326', '-94.220', '0.185', '-0.301', '-0.438', '1021.91', 'NA']
['1553383322748', '192.168.50.145', 'NA', 'NA', '1.531', '-1.079', '-9.522', '19.819', '17.692', '-93.599', '0.212', '-0.288', '-0.435', '1021.93', 'NA']
['1553383322770', '192.168.50.145', 'NA', 'NA', '1.531', '-1.079', '-9.522', '19.819', '17.692', '-93.599', '0.212', '-0.288', '-0.435', '1021.93', 'NA']
['1553383322792', '192.168.50.145', 'NA', 'NA', '1.531', '-1.079', '-9.522', '19.819', '17.692', '-93.599', '0.212', '-0.288', '-0.435', '1021.93', 'NA']
['1553383322814', '192.168.50.145', 'NA', 'NA', '1.146', '-1.202', '-9.831', '-6.510', '18.917', '-96.635', '0.237', '-0.268', '-0.424', '1021.97', 'NA']
